Hero,hero_id,Role,Matches,WR,D2PT Rating,Facet
Lifestealer,54,pos 1,8322,51.874549387166546,3166.0,No Facet
Dark Seer,55,pos 1,7,42.857142857142854,0.0,No Facet
Clinkz,56,pos 1,2455,52.91242362525458,3176.0,No Facet
Omniknight,57,pos 1,23,56.52173913043478,0.0,No Facet
Enchantress,58,pos 1,14,64.28571428571429,0.0,No Facet
Huskar,59,pos 1,285,51.228070175438596,3006.0,No Facet
Night Stalker,60,pos 1,83,43.373493975903614,2978.0,No Facet
Broodmother,61,pos 1,331,51.963746223564954,3006.0,No Facet
Bounty Hunter,62,pos 1,13,38.46153846153846,0.0,No Facet
Weaver,63,pos 1,3573,47.91491743632802,2541.0,No Facet
Jakiro,64,pos 1,18,16.666666666666668,0.0,No Facet
Batrider,65,pos 1,33,42.42424242424242,0.0,No Facet
Chen,66,pos 1,3,33.333333333333336,0.0,No Facet
Spectre,67,pos 1,3070,51.33550488599349,3064.0,No Facet
Ancient Apparition,68,pos 1,12,16.666666666666668,0.0,No Facet
Doom,69,pos 1,450,44.22222222222222,2847.0,No Facet
Ursa,70,pos 1,4819,48.7860551981739,2614.0,No Facet
Spirit Breaker,71,pos 1,12,8.333333333333334,0.0,No Facet
Gyrocopter,72,pos 1,1811,42.90447266703479,2384.0,No Facet
Alchemist,73,pos 1,7788,50.770416024653315,2879.0,No Facet
Invoker,74,pos 1,59,35.59322033898305,2962.0,No Facet
Silencer,75,pos 1,26,38.46153846153846,0.0,No Facet
Outworld Destroyer,76,pos 1,61,42.622950819672134,2978.0,No Facet
Lycan,77,pos 1,28,50.0,0.0,No Facet
Brewmaster,78,pos 1,3,33.333333333333336,0.0,No Facet
Shadow Demon,79,pos 1,2,0.0,0.0,No Facet
Lone Druid,80,pos 1,976,55.32786885245902,3164.0,No Facet
Chaos Knight,81,pos 1,765,50.45751633986928,2984.0,No Facet
Meepo,82,pos 1,752,49.202127659574465,2968.0,No Facet
Treant Protector,83,pos 1,9,44.44444444444444,0.0,No Facet
Ogre Magi,84,pos 1,19,31.57894736842105,0.0,No Facet
Undying,85,pos 1,10,50.0,0.0,No Facet
Rubick,86,pos 1,25,28.0,0.0,No Facet
Nyx Assassin,88,pos 1,8,37.5,0.0,No Facet
Naga Siren,89,pos 1,1239,53.188054882970135,3086.0,No Facet
Keeper of the Light,90,pos 1,18,50.0,0.0,No Facet
Io,91,pos 1,83,56.626506024096386,3019.0,No Facet
Visage,92,pos 1,17,52.94117647058823,0.0,No Facet
Slark,93,pos 1,10015,53.09036445332002,3592.0,No Facet
Medusa,94,pos 1,2030,50.78817733990148,2955.0,No Facet
Troll Warlord,95,pos 1,760,44.73684210526316,2814.0,No Facet
Centaur Warrunner,96,pos 1,6,0.0,0.0,No Facet
Magnus,97,pos 1,120,43.333333333333336,2964.0,No Facet
Timbersaw,98,pos 1,32,43.75,0.0,No Facet
Bristleback,99,pos 1,401,50.37406483790524,2966.0,No Facet
Tusk,100,pos 1,16,43.75,0.0,No Facet
Skywrath Mage,101,pos 1,2,50.0,0.0,No Facet
Abaddon,102,pos 1,196,46.93877551020408,2948.0,No Facet
Elder Titan,103,pos 1,23,43.47826086956522,0.0,No Facet
Legion Commander,104,pos 1,145,44.827586206896555,2962.0,No Facet
Techies,105,pos 1,8,25.0,0.0,No Facet
Ember Spirit,106,pos 1,103,44.66019417475728,2972.0,No Facet
Earth Spirit,107,pos 1,4,25.0,0.0,No Facet
Underlord,108,pos 1,6,16.666666666666668,0.0,No Facet
Terrorblade,109,pos 1,3168,51.98863636363637,3076.0,No Facet
Phoenix,110,pos 1,18,22.22222222222222,0.0,No Facet
Oracle,111,pos 1,3,0.0,0.0,No Facet
Winter Wyvern,112,pos 1,24,41.666666666666664,0.0,No Facet
Arc Warden,113,pos 1,136,48.529411764705884,2972.0,No Facet
Monkey King,114,pos 1,6232,47.99422336328627,2313.0,No Facet
Dark Willow,119,pos 1,14,42.857142857142854,0.0,No Facet
Pangolier,120,pos 1,66,43.93939393939394,2983.0,No Facet
Grimstroke,121,pos 1,3,66.66666666666667,0.0,No Facet
Hoodwink,123,pos 1,47,51.06382978723404,0.0,No Facet
Void Spirit,126,pos 1,260,49.23076923076923,2975.0,No Facet
Snapfire,128,pos 1,22,36.36363636363637,0.0,No Facet
Mars,129,pos 1,25,36.0,0.0,No Facet
Ringmaster,131,pos 1,2,50.0,0.0,No Facet
Dawnbreaker,135,pos 1,64,53.125,3011.0,No Facet
Marci,136,pos 1,223,43.946188340807176,2944.0,No Facet
Primal Beast,137,pos 1,5,20.0,0.0,No Facet
Muerta,138,pos 1,4371,49.07343857240906,2637.0,No Facet
Kez,145,pos 1,2491,49.33761541549578,2828.0,No Facet
Largo,155,pos 1,9,44.44444444444444,0.0,No Facet
Anti-Mage,1,pos 2,259,44.4015444015444,2922.0,No Facet
Axe,2,pos 2,164,45.1219512195122,2970.0,No Facet
Bane,3,pos 2,88,50.0,2996.0,No Facet
Bloodseeker,4,pos 2,183,55.19125683060109,3027.0,No Facet
Crystal Maiden,5,pos 2,82,43.90243902439025,2969.0,No Facet
Drow Ranger,6,pos 2,90,48.888888888888886,3002.0,No Facet
Earthshaker,7,pos 2,1799,53.41856586992774,3160.0,No Facet
Juggernaut,8,pos 2,29,41.37931034482759,0.0,No Facet
Mirana,9,pos 2,328,42.68292682926829,2873.0,No Facet
Morphling,10,pos 2,118,37.28813559322034,2929.0,No Facet
Shadow Fiend,11,pos 2,3286,46.34814363968351,2375.0,No Facet
Phantom Lancer,12,pos 2,13,38.46153846153846,0.0,No Facet
Puck,13,pos 2,4589,49.444323382000434,2747.0,No Facet
Pudge,14,pos 2,1446,50.27662517289073,2953.0,No Facet
Razor,15,pos 2,447,43.624161073825505,2876.0,No Facet
Sand King,16,pos 2,1992,47.28915662650602,2700.0,No Facet
Storm Spirit,17,pos 2,5649,47.76066560453177,2243.0,No Facet
Sven,18,pos 2,22,54.54545454545455,0.0,No Facet
Tiny,19,pos 2,1412,47.096317280453256,2752.0,No Facet
Vengeful Spirit,20,pos 2,182,54.395604395604394,3014.0,No Facet
Windranger,21,pos 2,1278,50.23474178403756,2950.0,No Facet
Zeus,22,pos 2,2340,47.00854700854701,2564.0,No Facet
Kunkka,23,pos 2,1086,47.14548802946593,2852.0,No Facet
Lina,25,pos 2,4762,48.86602267954641,2622.0,No Facet
Lion,26,pos 2,1250,49.44,2903.0,No Facet
Shadow Shaman,27,pos 2,50,50.0,3000.0,No Facet
Slardar,28,pos 2,1116,51.88172043010753,3049.0,No Facet
Tidehunter,29,pos 2,192,49.479166666666664,2990.0,No Facet
Witch Doctor,30,pos 2,25,48.0,0.0,No Facet
Lich,31,pos 2,34,52.94117647058823,0.0,No Facet
Riki,32,pos 2,566,55.30035335689046,3096.0,No Facet
Enigma,33,pos 2,182,53.84615384615385,3015.0,No Facet
Tinker,34,pos 2,2464,47.686688311688314,2662.0,No Facet
Sniper,35,pos 2,4194,48.42632331902718,2548.0,No Facet
Necrophos,36,pos 2,4314,50.741770978210475,2924.0,No Facet
Warlock,37,pos 2,17,23.529411764705884,0.0,No Facet
Beastmaster,38,pos 2,1970,49.13705583756345,2870.0,No Facet
Queen of Pain,39,pos 2,10824,50.17553584626755,2608.0,No Facet
Venomancer,40,pos 2,96,39.583333333333336,2960.0,No Facet
Faceless Void,41,pos 2,93,53.763440860215056,3014.0,No Facet
Wraith King,42,pos 2,51,39.21568627450981,2973.0,No Facet
Death Prophet,43,pos 2,1562,48.46350832266325,2835.0,No Facet
Phantom Assassin,44,pos 2,67,41.791044776119406,2984.0,No Facet
Pugna,45,pos 2,369,51.21951219512195,3010.0,No Facet
Templar Assassin,46,pos 2,559,45.796064400715565,2863.0,No Facet
Viper,47,pos 2,2165,49.19168591224018,2831.0,No Facet
Luna,48,pos 2,66,40.90909090909091,2976.0,No Facet
Dragon Knight,49,pos 2,550,54.0,3065.0,No Facet
Dazzle,50,pos 2,42,38.095238095238095,0.0,No Facet
Clockwerk,51,pos 2,34,58.8235294117647,0.0,No Facet
Leshrac,52,pos 2,2673,49.083426861204636,2752.0,No Facet
Nature's Prophet,53,pos 2,800,45.5,2835.0,No Facet
Lifestealer,54,pos 2,19,31.57894736842105,0.0,No Facet
Dark Seer,55,pos 2,80,56.25,3014.0,No Facet
Clinkz,56,pos 2,365,48.76712328767123,2958.0,No Facet
Omniknight,57,pos 2,38,39.473684210526315,0.0,No Facet
Enchantress,58,pos 2,127,51.181102362204726,2999.0,No Facet
Huskar,59,pos 2,3484,52.69804822043628,3183.0,No Facet
Night Stalker,60,pos 2,246,48.78048780487805,2978.0,No Facet
Broodmother,61,pos 2,781,51.600512163892446,3023.0,No Facet
Bounty Hunter,62,pos 2,76,39.473684210526315,2966.0,No Facet
Weaver,63,pos 2,205,46.34146341463415,2959.0,No Facet
Jakiro,64,pos 2,116,46.55172413793103,2974.0,No Facet
Batrider,65,pos 2,1525,55.08196721311475,3245.0,No Facet
Spectre,67,pos 2,25,32.0,0.0,No Facet
Ancient Apparition,68,pos 2,105,35.23809523809524,2925.0,No Facet
Doom,69,pos 2,307,47.88273615635179,2958.0,No Facet
Ursa,70,pos 2,139,48.92086330935252,2977.0,No Facet
Spirit Breaker,71,pos 2,349,44.126074498567334,2913.0,No Facet
Gyrocopter,72,pos 2,27,25.925925925925927,0.0,No Facet
Alchemist,73,pos 2,1084,50.0,2952.0,No Facet
Invoker,74,pos 2,9915,54.37216338880484,4147.0,No Facet
Silencer,75,pos 2,313,46.96485623003195,2945.0,No Facet
Outworld Destroyer,76,pos 2,2425,49.56701030927835,2849.0,No Facet
Lycan,77,pos 2,149,56.375838926174495,3027.0,No Facet
Brewmaster,78,pos 2,113,50.442477876106196,2991.0,No Facet
Shadow Demon,79,pos 2,28,25.0,0.0,No Facet
Lone Druid,80,pos 2,1283,56.11847233047545,3220.0,No Facet
Chaos Knight,81,pos 2,46,39.130434782608695,0.0,No Facet
Meepo,82,pos 2,1572,48.91857506361323,2868.0,No Facet
Treant Protector,83,pos 2,3,33.333333333333336,0.0,No Facet
Ogre Magi,84,pos 2,325,50.46153846153846,2983.0,No Facet
Undying,85,pos 2,85,37.64705882352941,2957.0,No Facet
Rubick,86,pos 2,2185,48.60411899313501,2769.0,No Facet
Disruptor,87,pos 2,24,37.5,0.0,No Facet
Nyx Assassin,88,pos 2,473,47.56871035940804,2923.0,No Facet
Naga Siren,89,pos 2,14,71.42857142857143,0.0,No Facet
Keeper of the Light,90,pos 2,3473,55.94586812553988,3607.0,No Facet
Io,91,pos 2,257,49.416342412451364,2979.0,No Facet
Visage,92,pos 2,527,54.64895635673624,3073.0,No Facet
Slark,93,pos 2,450,47.77777777777778,2931.0,No Facet
Medusa,94,pos 2,42,42.857142857142854,0.0,No Facet
Troll Warlord,95,pos 2,20,50.0,0.0,No Facet
Centaur Warrunner,96,pos 2,27,44.44444444444444,0.0,No Facet
Magnus,97,pos 2,1332,49.92492492492492,2970.0,No Facet
Timbersaw,98,pos 2,382,40.575916230366495,2836.0,No Facet
Bristleback,99,pos 2,153,51.63398692810458,3005.0,No Facet
Tusk,100,pos 2,315,48.57142857142857,2946.0,No Facet
Skywrath Mage,101,pos 2,944,46.92796610169491,2817.0,No Facet
Abaddon,102,pos 2,11,18.181818181818183,0.0,No Facet
Elder Titan,103,pos 2,30,53.333333333333336,0.0,No Facet
Legion Commander,104,pos 2,328,48.170731707317074,2963.0,No Facet
Techies,105,pos 2,253,48.22134387351779,2964.0,No Facet
Ember Spirit,106,pos 2,6963,50.05026569007612,2662.0,No Facet
Earth Spirit,107,pos 2,934,56.102783725910065,3202.0,No Facet
Underlord,108,pos 2,43,32.55813953488372,0.0,No Facet
Terrorblade,109,pos 2,5,60.0,0.0,No Facet
Phoenix,110,pos 2,1119,55.40661304736372,3178.0,No Facet
Oracle,111,pos 2,65,33.84615384615385,2960.0,No Facet
Winter Wyvern,112,pos 2,284,50.352112676056336,2993.0,No Facet
Arc Warden,113,pos 2,1556,49.03598971722365,2830.0,No Facet
Monkey King,114,pos 2,2168,52.35239852398524,3142.0,No Facet
Dark Willow,119,pos 2,117,42.73504273504273,2950.0,No Facet
Pangolier,120,pos 2,6083,49.991780371527206,2771.0,No Facet
Grimstroke,121,pos 2,67,43.28358208955224,2980.0,No Facet
Hoodwink,123,pos 2,146,47.945205479452056,2976.0,No Facet
Void Spirit,126,pos 2,6811,47.58478931140802,1981.0,No Facet
Snapfire,128,pos 2,325,53.84615384615385,3039.0,No Facet
Mars,129,pos 2,337,43.916913946587535,2910.0,No Facet
Ringmaster,131,pos 2,23,30.434782608695652,0.0,No Facet
Dawnbreaker,135,pos 2,524,50.38167938931298,2984.0,No Facet
Marci,136,pos 2,787,51.84243964421855,3026.0,No Facet
Primal Beast,137,pos 2,1164,56.44329896907217,3235.0,No Facet
Muerta,138,pos 2,285,50.526315789473685,2981.0,No Facet
Kez,145,pos 2,1421,50.87966220971147,2983.0,No Facet
Largo,155,pos 2,93,43.01075268817204,2967.0,No Facet
Anti-Mage,1,pos 3,110,38.18181818181818,2946.0,No Facet
Axe,2,pos 3,7213,50.10397892693747,2664.0,No Facet
Bane,3,pos 3,28,39.285714285714285,0.0,No Facet
Bloodseeker,4,pos 3,213,52.11267605633803,3006.0,No Facet
Crystal Maiden,5,pos 3,48,43.75,0.0,No Facet
Drow Ranger,6,pos 3,22,45.45454545454545,0.0,No Facet
Earthshaker,7,pos 3,1895,50.50131926121372,2963.0,No Facet
Juggernaut,8,pos 3,41,19.51219512195122,0.0,No Facet
Mirana,9,pos 3,190,51.578947368421055,3002.0,No Facet
Morphling,10,pos 3,14,35.714285714285715,0.0,No Facet
Shadow Fiend,11,pos 3,112,39.285714285714285,2943.0,No Facet
Phantom Lancer,12,pos 3,29,62.06896551724138,0.0,No Facet
Puck,13,pos 3,39,46.15384615384615,0.0,No Facet
Pudge,14,pos 3,3732,52.38478027867095,3194.0,No Facet
Razor,15,pos 3,2129,49.22498825739784,2849.0,No Facet
Sand King,16,pos 3,2534,46.01420678768745,2475.0,No Facet
Storm Spirit,17,pos 3,35,25.714285714285715,0.0,No Facet
Sven,18,pos 3,51,33.333333333333336,2957.0,No Facet
Tiny,19,pos 3,1029,45.09232264334305,2745.0,No Facet
Vengeful Spirit,20,pos 3,791,50.821744627054365,2994.0,No Facet
Windranger,21,pos 3,1073,52.93569431500466,3034.0,No Facet
Zeus,22,pos 3,144,45.138888888888886,2958.0,No Facet
Kunkka,23,pos 3,1433,51.7794836008374,3022.0,No Facet
Lina,25,pos 3,52,40.38461538461539,2971.0,No Facet
Lion,26,pos 3,151,54.3046357615894,3018.0,No Facet
Shadow Shaman,27,pos 3,22,40.90909090909091,0.0,No Facet
Slardar,28,pos 3,4851,49.94846423417852,2784.0,No Facet
Tidehunter,29,pos 3,11387,51.28655484324229,3032.0,No Facet
Witch Doctor,30,pos 3,29,58.62068965517241,0.0,No Facet
Lich,31,pos 3,22,40.90909090909091,0.0,No Facet
Riki,32,pos 3,499,52.50501002004008,3052.0,No Facet
Enigma,33,pos 3,1087,54.7378104875805,3156.0,No Facet
Tinker,34,pos 3,86,29.069767441860463,2922.0,No Facet
Sniper,35,pos 3,91,38.46153846153846,2965.0,No Facet
Necrophos,36,pos 3,2597,51.36696187909126,3068.0,No Facet
Warlock,37,pos 3,9,22.22222222222222,0.0,No Facet
Beastmaster,38,pos 3,3841,51.75735485550638,3092.0,No Facet
Queen of Pain,39,pos 3,607,49.093904448105434,2938.0,No Facet
Venomancer,40,pos 3,564,43.08510638297872,2829.0,No Facet
Faceless Void,41,pos 3,354,50.56497175141243,2986.0,No Facet
Wraith King,42,pos 3,1897,49.182920400632575,2836.0,No Facet
Death Prophet,43,pos 3,1796,49.610244988864146,2895.0,No Facet
Phantom Assassin,44,pos 3,26,46.15384615384615,0.0,No Facet
Pugna,45,pos 3,80,50.0,2991.0,No Facet
Templar Assassin,46,pos 3,17,35.294117647058826,0.0,No Facet
Viper,47,pos 3,1337,45.400149588631265,2694.0,No Facet
Luna,48,pos 3,33,48.484848484848484,0.0,No Facet
Dragon Knight,49,pos 3,482,48.96265560165975,2948.0,No Facet
Dazzle,50,pos 3,39,38.46153846153846,0.0,No Facet
Clockwerk,51,pos 3,263,53.61216730038023,3032.0,No Facet
Leshrac,52,pos 3,202,57.92079207920792,3062.0,No Facet
Nature's Prophet,53,pos 3,336,45.833333333333336,2929.0,No Facet
Lifestealer,54,pos 3,96,39.583333333333336,2959.0,No Facet
Dark Seer,55,pos 3,1259,49.88085782366958,2923.0,No Facet
Clinkz,56,pos 3,32,46.875,0.0,No Facet
Omniknight,57,pos 3,685,50.21897810218978,2958.0,No Facet
Enchantress,58,pos 3,244,54.09836065573771,3038.0,No Facet
Huskar,59,pos 3,670,49.25373134328358,2943.0,No Facet
Night Stalker,60,pos 3,5874,52.46850527749404,3272.0,No Facet
Broodmother,61,pos 3,356,47.47191011235955,2950.0,No Facet
Bounty Hunter,62,pos 3,96,42.708333333333336,2966.0,No Facet
Weaver,63,pos 3,452,50.0,2973.0,No Facet
Jakiro,64,pos 3,64,37.5,2960.0,No Facet
Batrider,65,pos 3,3035,55.22240527182866,3496.0,No Facet
Chen,66,pos 3,5,20.0,0.0,No Facet
Spectre,67,pos 3,44,43.18181818181818,0.0,No Facet
Ancient Apparition,68,pos 3,13,53.84615384615385,0.0,No Facet
Doom,69,pos 3,5622,48.3991462113127,2411.0,No Facet
Ursa,70,pos 3,219,48.401826484018265,2972.0,No Facet
Spirit Breaker,71,pos 3,1464,46.37978142076503,2712.0,No Facet
Gyrocopter,72,pos 3,20,35.0,0.0,No Facet
Alchemist,73,pos 3,1478,46.88768606224628,2750.0,No Facet
Invoker,74,pos 3,158,56.32911392405063,3024.0,No Facet
Silencer,75,pos 3,63,53.96825396825397,3009.0,No Facet
Outworld Destroyer,76,pos 3,62,48.38709677419355,3004.0,No Facet
Lycan,77,pos 3,665,50.37593984962406,2991.0,No Facet
Brewmaster,78,pos 3,1360,49.63235294117647,2888.0,No Facet
Shadow Demon,79,pos 3,11,54.54545454545455,0.0,No Facet
Lone Druid,80,pos 3,415,50.8433734939759,3007.0,No Facet
Chaos Knight,81,pos 3,760,47.23684210526316,2892.0,No Facet
Meepo,82,pos 3,175,46.285714285714285,2966.0,No Facet
Treant Protector,83,pos 3,71,47.88732394366197,2988.0,No Facet
Ogre Magi,84,pos 3,603,46.766169154228855,2906.0,No Facet
Undying,85,pos 3,1224,51.552287581699346,3008.0,No Facet
Rubick,86,pos 3,284,48.23943661971831,2977.0,No Facet
Disruptor,87,pos 3,8,62.5,0.0,No Facet
Nyx Assassin,88,pos 3,371,47.43935309973046,2955.0,No Facet
Naga Siren,89,pos 3,29,48.275862068965516,0.0,No Facet
Keeper of the Light,90,pos 3,158,47.46835443037975,2983.0,No Facet
Io,91,pos 3,103,46.601941747572816,2976.0,No Facet
Visage,92,pos 3,773,58.473479948253555,3234.0,No Facet
Slark,93,pos 3,482,54.77178423236514,3082.0,No Facet
Medusa,94,pos 3,33,45.45454545454545,0.0,No Facet
Troll Warlord,95,pos 3,35,45.714285714285715,0.0,No Facet
Centaur Warrunner,96,pos 3,2363,47.270418958950486,2636.0,No Facet
Magnus,97,pos 3,3659,50.396283137469254,2913.0,No Facet
Timbersaw,98,pos 3,2299,44.06263592866463,2353.0,No Facet
Bristleback,99,pos 3,4215,45.836298932384345,2100.0,No Facet
Tusk,100,pos 3,433,49.19168591224018,2946.0,No Facet
Skywrath Mage,101,pos 3,66,42.42424242424242,2975.0,No Facet
Abaddon,102,pos 3,320,51.5625,3006.0,No Facet
Elder Titan,103,pos 3,211,50.23696682464455,2989.0,No Facet
Legion Commander,104,pos 3,6233,52.02952029520295,3152.0,No Facet
Techies,105,pos 3,116,50.86206896551724,2996.0,No Facet
Ember Spirit,106,pos 3,190,44.21052631578947,2937.0,No Facet
Earth Spirit,107,pos 3,376,50.797872340425535,2994.0,No Facet
Underlord,108,pos 3,3407,49.63310830642794,2732.0,No Facet
Terrorblade,109,pos 3,35,57.142857142857146,0.0,No Facet
Phoenix,110,pos 3,1971,54.43937087772704,3251.0,No Facet
Oracle,111,pos 3,8,0.0,0.0,No Facet
Winter Wyvern,112,pos 3,797,56.33626097867001,3156.0,No Facet
Arc Warden,113,pos 3,18,27.77777777777778,0.0,No Facet
Monkey King,114,pos 3,414,51.932367149758456,3019.0,No Facet
Dark Willow,119,pos 3,49,48.97959183673469,0.0,No Facet
Pangolier,120,pos 3,4429,49.288778505305935,2707.0,No Facet
Grimstroke,121,pos 3,24,62.5,0.0,No Facet
Hoodwink,123,pos 3,109,43.11926605504587,2967.0,No Facet
Void Spirit,126,pos 3,965,51.295336787564764,3015.0,No Facet
Snapfire,128,pos 3,261,49.42528735632184,2988.0,No Facet
Mars,129,pos 3,7078,45.365922576999154,1522.0,No Facet
Ringmaster,131,pos 3,8,50.0,0.0,No Facet
Dawnbreaker,135,pos 3,6508,53.04240934234788,3430.0,No Facet
Marci,136,pos 3,535,51.77570093457944,3010.0,No Facet
Primal Beast,137,pos 3,2661,52.649379932356254,3196.0,No Facet
Muerta,138,pos 3,42,45.23809523809524,0.0,No Facet
Kez,145,pos 3,239,46.44351464435147,2950.0,No Facet
Largo,155,pos 3,612,48.36601307189542,2920.0,No Facet
Anti-Mage,1,pos 4,23,30.434782608695652,0.0,No Facet
Axe,2,pos 4,294,49.31972789115646,2969.0,No Facet
Bane,3,pos 4,823,52.004860267314704,3012.0,No Facet
Bloodseeker,4,pos 4,25,36.0,0.0,No Facet
Crystal Maiden,5,pos 4,1173,51.23614663256607,3002.0,No Facet
Drow Ranger,6,pos 4,6,33.333333333333336,0.0,No Facet
Earthshaker,7,pos 4,3117,51.267244145011226,3021.0,No Facet
Juggernaut,8,pos 4,5,20.0,0.0,No Facet
Mirana,9,pos 4,2374,49.74726200505476,2862.0,No Facet
Shadow Fiend,11,pos 4,61,32.78688524590164,2959.0,No Facet
Phantom Lancer,12,pos 4,6,0.0,0.0,No Facet
Puck,13,pos 4,39,51.282051282051285,0.0,No Facet
Pudge,14,pos 4,7842,48.890589135424634,2271.0,No Facet
Razor,15,pos 4,105,46.666666666666664,2981.0,No Facet
Sand King,16,pos 4,46,47.82608695652174,0.0,No Facet
Storm Spirit,17,pos 4,25,32.0,0.0,No Facet
Sven,18,pos 4,15,33.333333333333336,0.0,No Facet
Tiny,19,pos 4,2361,47.39517153748412,2649.0,No Facet
Vengeful Spirit,20,pos 4,1033,55.46950629235237,3157.0,No Facet
Windranger,21,pos 4,1829,48.223072717331874,2782.0,No Facet
Zeus,22,pos 4,5211,52.254845519094225,3149.0,No Facet
Kunkka,23,pos 4,115,46.08695652173913,2979.0,No Facet
Lina,25,pos 4,753,45.0199203187251,2808.0,No Facet
Lion,26,pos 4,5301,48.8398415393322,2532.0,No Facet
Shadow Shaman,27,pos 4,3157,52.04307887234717,3127.0,No Facet
Slardar,28,pos 4,102,42.15686274509804,2958.0,No Facet
Tidehunter,29,pos 4,159,47.16981132075472,2975.0,No Facet
Witch Doctor,30,pos 4,1585,47.3186119873817,2744.0,No Facet
Lich,31,pos 4,1748,50.97254004576659,2988.0,No Facet
Riki,32,pos 4,341,51.61290322580645,3002.0,No Facet
Enigma,33,pos 4,279,54.83870967741935,3031.0,No Facet
Tinker,34,pos 4,135,34.81481481481482,2905.0,No Facet
Sniper,35,pos 4,493,44.827586206896555,2866.0,No Facet
Necrophos,36,pos 4,45,42.22222222222222,0.0,No Facet
Warlock,37,pos 4,705,43.97163120567376,2815.0,No Facet
Beastmaster,38,pos 4,66,48.484848484848484,2993.0,No Facet
Queen of Pain,39,pos 4,946,49.04862579281184,2886.0,No Facet
Venomancer,40,pos 4,3447,44.79257325210328,2189.0,No Facet
Faceless Void,41,pos 4,90,53.333333333333336,3006.0,No Facet
Wraith King,42,pos 4,24,33.333333333333336,0.0,No Facet
Death Prophet,43,pos 4,200,49.5,2977.0,No Facet
Phantom Assassin,44,pos 4,20,15.0,0.0,No Facet
Pugna,45,pos 4,795,50.062893081761004,2983.0,No Facet
Templar Assassin,46,pos 4,6,33.333333333333336,0.0,No Facet
Viper,47,pos 4,180,45.0,2945.0,No Facet
Luna,48,pos 4,41,39.02439024390244,0.0,No Facet
Dragon Knight,49,pos 4,15,26.666666666666668,0.0,No Facet
Dazzle,50,pos 4,387,50.90439276485788,3006.0,No Facet
