,hero_name,position,facet,matches,build_win_rate,talents,abilities,starting,common_late,early,mid,late,core
10,Alchemist,Carry,SEED MONEY,950,52,"[0, 1, 1, 1]","['Unstable Concoction', 'Acid Spray', 'Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Chemical Rage', 'Acid Spray', 'Unstable Concoction', 'Unstable Concoction', '+125 Unstable Concoction Radius']","['Quelling Blade', 'Tango', 'Bracer', 'Magic Stick', 'Circlet', 'Iron Branch', 'Gauntlets of Strength', 'Iron Branch', 'Iron Branch', 'Gauntlets of Strength', 'Gauntlets of Strength']","['Black King Bar', 'Assault Cuirass', 'Radiance', 'Bloodthorn', 'Abyssal Blade', 'Swift Blink']","['Bracer', 'Null Talisman', 'Boots of Speed', 'Magic Wand', 'Soul Ring', 'Power Treads', 'Phase Boots']","['Radiance', 'Blink Dagger', 'Yasha', 'Manta Style', 'Black King Bar', 'Orchid Malevolence', 'Assault Cuirass', ""Aghanim's Shard"", 'Bloodthorn', 'Skull Basher', 'Boots of Travel', 'Nullifier', 'Abyssal Blade', 'Overwhelming Blink']","['Monkey King Bar', 'Swift Blink', ""Aghanim's Scepter"", 'Boots of Travel 2']","['Bracer', 'Boots of Speed', 'Soul Ring', 'Orchid Malevolence', 'Magic Wand', 'Power Treads', 'Phase Boots', 'Radiance', 'Blink Dagger', 'Manta Style', 'Black King Bar', 'Yasha', 'Assault Cuirass', ""Aghanim's Shard"", 'Bloodthorn', 'Skull Basher', 'Nullifier', 'Abyssal Blade', 'Overwhelming Blink', 'Swift Blink']"
11,Alchemist,Carry,MIXOLOGIST,224,59,"[0, 1, 1, 1]","['Unstable Concoction', 'Acid Spray', 'Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Chemical Rage', 'Acid Spray', 'Unstable Concoction', 'Unstable Concoction', '+125 Unstable Concoction Radius']","['Quelling Blade', 'Tango', 'Circlet', 'Magic Stick', 'Iron Branch', 'Iron Branch', 'Gauntlets of Strength', 'Gauntlets of Strength']","['Black King Bar', 'Radiance', 'Swift Blink', 'Bloodthorn', 'Assault Cuirass', 'Abyssal Blade']","['Bracer', 'Boots of Speed', 'Magic Wand', 'Null Talisman', 'Soul Ring', 'Power Treads', 'Phase Boots']","['Radiance', 'Yasha', 'Blink Dagger', 'Manta Style', 'Sange and Yasha', 'Black King Bar', 'Orchid Malevolence', ""Aghanim's Shard"", 'Assault Cuirass', 'Octarine Core', 'Bloodthorn', 'Skull Basher', 'Mjollnir', 'Monkey King Bar', 'Nullifier', 'Abyssal Blade']","['Overwhelming Blink', 'Swift Blink', 'Butterfly', 'Divine Rapier', 'Boots of Travel 2']","['Bracer', 'Boots of Speed', 'Magic Wand', 'Soul Ring', 'Manta Style', 'Null Talisman', 'Power Treads', 'Phase Boots', 'Radiance', 'Blink Dagger', 'Black King Bar', 'Yasha', 'Orchid Malevolence', ""Aghanim's Shard"", 'Assault Cuirass', 'Bloodthorn', 'Skull Basher', 'Overwhelming Blink', 'Swift Blink']"
12,Alchemist,Mid,SEED MONEY,182,48,"[0, 1, 1, 1]","['Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Chemical Rage', 'Acid Spray', 'Unstable Concoction', 'Unstable Concoction', '+125 Unstable Concoction Radius']","['Tango', 'Observer Ward', 'Quelling Blade', 'Bracer', 'Iron Branch', 'Iron Branch', 'Faerie Fire', 'Circlet', 'Gauntlets of Strength', 'Gauntlets of Strength', 'Magic Stick', 'Iron Branch', 'Ring of Protection']","['Black King Bar', 'Radiance', 'Bloodthorn', 'Manta Style', 'Swift Blink', 'Overwhelming Blink']","['Bracer', 'Bottle', 'Boots of Speed', 'Soul Ring', 'Magic Wand', 'Phase Boots', 'Power Treads']","['Radiance', 'Blink Dagger', 'Yasha', 'Orchid Malevolence', 'Manta Style', 'Black King Bar', 'Boots of Travel', ""Aghanim's Shard"", 'Assault Cuirass', 'Bloodthorn', 'Octarine Core', 'Skull Basher', ""Aghanim's Scepter"", 'Abyssal Blade', 'Overwhelming Blink']","['Swift Blink', 'Boots of Travel 2', 'Refresher Orb']","['Bracer', 'Bottle', 'Boots of Speed', 'Soul Ring', 'Magic Wand', 'Phase Boots', 'Power Treads', 'Radiance', 'Blink Dagger', 'Orchid Malevolence', 'Manta Style', 'Black King Bar', 'Assault Cuirass', 'Yasha', 'Bloodthorn', 'Skull Basher', ""Aghanim's Shard""]"
13,Alchemist,Mid,MIXOLOGIST,49,61,"[0, 1, 0, 1]","['Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Chemical Rage', 'Acid Spray', 'Unstable Concoction', 'Unstable Concoction', '+125 Unstable Concoction Radius']","['Tango', 'Quelling Blade', 'Gauntlets of Strength', 'Observer Ward', 'Faerie Fire', 'Iron Branch', 'Iron Branch', 'Iron Branch']","['Black King Bar', 'Octarine Core', 'Bloodthorn', 'Abyssal Blade', 'Swift Blink', 'Nullifier']","['Bottle', 'Soul Ring', 'Boots of Speed', 'Magic Wand', 'Wind Lace', 'Phase Boots', 'Power Treads']","['Radiance', 'Blink Dagger', 'Yasha', 'Black King Bar', 'Manta Style', 'Orchid Malevolence', 'Tiara of Selemene', ""Aghanim's Shard"", 'Assault Cuirass', 'Octarine Core', 'Veil of Discord', 'Bloodthorn', 'Dagon', 'Dagon', 'Dagon', 'Skull Basher', ""Shiva's Guard"", 'Overwhelming Blink', 'Dagon', 'Abyssal Blade']","['Nullifier', 'Refresher Orb']","['Soul Ring', 'Phase Boots', 'Boots of Speed', 'Radiance', 'Blink Dagger', 'Black King Bar', 'Manta Style', 'Yasha']"
14,Alchemist,Offlane,SEED MONEY,122,49,"[0, 1, 1, 1]","['Unstable Concoction', 'Acid Spray', 'Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Chemical Rage', 'Acid Spray', 'Unstable Concoction', 'Unstable Concoction', '+125 Unstable Concoction Radius']","['Tango', 'Bracer', 'Quelling Blade', 'Magic Stick', 'Iron Branch', 'Iron Branch', 'Gauntlets of Strength', 'Iron Branch', 'Circlet', 'Gauntlets of Strength']","['Black King Bar', 'Radiance', 'Assault Cuirass', 'Manta Style', 'Bloodthorn', 'Boots of Travel']","['Bracer', 'Bracer', 'Boots of Speed', 'Magic Wand', 'Soul Ring', 'Wind Lace', 'Phase Boots', 'Power Treads']","['Radiance', 'Blink Dagger', 'Yasha', 'Manta Style', 'Orchid Malevolence', 'Black King Bar', 'Boots of Travel', 'Skull Basher', ""Aghanim's Shard"", 'Assault Cuirass', 'Bloodthorn', ""Aghanim's Scepter"", 'Nullifier']","['Swift Blink', 'Overwhelming Blink', 'Scythe of Vyse', 'Mjollnir', 'Divine Rapier']","['Bracer', 'Bracer', 'Boots of Speed', 'Magic Wand', 'Phase Boots', 'Radiance', 'Blink Dagger', 'Black King Bar', 'Soul Ring', 'Assault Cuirass', 'Power Treads', 'Manta Style', ""Aghanim's Shard"", 'Orchid Malevolence', 'Bloodthorn', 'Yasha']"
15,Alchemist,Offlane,MIXOLOGIST,21,52,"[0, 1, 0, 1]","['Unstable Concoction', 'Acid Spray', 'Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Chemical Rage', 'Acid Spray', 'Unstable Concoction', 'Unstable Concoction', '+125 Unstable Concoction Radius']","['Tango', 'Quelling Blade', 'Gauntlets of Strength', 'Iron Branch', 'Circlet', 'Gauntlets of Strength', 'Magic Stick', 'Iron Branch', 'Iron Branch']","['Bloodthorn', 'Radiance', 'Black King Bar', 'Assault Cuirass', 'Manta Style', 'Swift Blink']","['Bracer', 'Null Talisman', 'Boots of Speed', 'Soul Ring', 'Power Treads', 'Magic Wand', 'Phase Boots', 'Wind Lace']","['Radiance', 'Blink Dagger', 'Orchid Malevolence', 'Yasha', 'Black King Bar', 'Manta Style', 'Sange and Yasha', ""Aghanim's Shard"", 'Octarine Core', 'Assault Cuirass', ""Eul's Scepter of Divinity"", ""Aghanim's Scepter"", 'Bloodthorn']","['Skull Basher', 'Aeon Disk', 'Abyssal Blade', 'Swift Blink', 'Moon Shard']","['Bracer', 'Boots of Speed', 'Soul Ring', 'Magic Wand', 'Phase Boots', 'Radiance', 'Blink Dagger', 'Black King Bar']"
16,Alchemist,Support,SEED MONEY,397,48,"[0, 1, 0, 0]","['Unstable Concoction', 'Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Unstable Concoction', 'Chemical Rage', 'Unstable Concoction', 'Acid Spray', 'Acid Spray', '+125 Unstable Concoction Radius']","['Blood Grenade', 'Tango', 'Sentry Ward', 'Observer and Sentry Wards', 'Boots of Speed', 'Enchanted Mango', 'Magic Stick', 'Observer Ward', 'Bracer', 'Faerie Fire', 'Iron Branch', 'Clarity']","['Arcane Boots', 'Solar Crest', 'Blink Dagger', ""Eul's Scepter of Divinity"", ""Vladmir's Offering"", 'Assault Cuirass']","['Bracer', 'Boots of Speed', 'Ring of Basilius', 'Soul Ring', 'Arcane Boots', 'Tranquil Boots', 'Wind Lace', 'Magic Wand']","['Pavise', 'Solar Crest', 'Blink Dagger', ""Aghanim's Scepter"", ""Aghanim's Shard"", ""Eul's Scepter of Divinity"", 'Pipe of Insight', 'Lotus Orb', ""Vladmir's Offering""]","['Scythe of Vyse', 'Boots of Travel', 'Assault Cuirass', 'Aeon Disk']","['Bracer', 'Boots of Speed', 'Ring of Basilius', 'Arcane Boots', 'Wind Lace', 'Magic Wand', 'Pavise', 'Solar Crest', 'Blink Dagger', ""Aghanim's Scepter"", ""Aghanim's Shard""]"
17,Alchemist,Hard Support,SEED MONEY,347,47,"[0, 1, 0, 1]","['Unstable Concoction', 'Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Acid Spray', 'Chemical Rage', 'Acid Spray', 'Unstable Concoction', 'Unstable Concoction', '+125 Unstable Concoction Radius']","['Tango', 'Blood Grenade', 'Sentry Ward', 'Observer and Sentry Wards', 'Boots of Speed', 'Enchanted Mango', 'Iron Branch', 'Clarity', 'Iron Branch', 'Magic Stick', 'Faerie Fire', 'Bracer']","['Solar Crest', 'Blink Dagger', 'Pipe of Insight', 'Glimmer Cape', 'Scythe of Vyse', ""Vladmir's Offering""]","['Boots of Speed', 'Ring of Basilius', 'Bracer', 'Soul Ring', 'Magic Wand', 'Arcane Boots', 'Wind Lace', 'Tranquil Boots']","['Pavise', 'Solar Crest', 'Blink Dagger', 'Mekansm', ""Aghanim's Scepter"", 'Glimmer Cape', ""Aghanim's Shard"", ""Eul's Scepter of Divinity"", 'Pipe of Insight', 'Lotus Orb', ""Vladmir's Offering"", 'Ghost Scepter', 'Wind Waker']","['Morbid Mask', 'Scythe of Vyse']","['Boots of Speed', 'Ring of Basilius', 'Arcane Boots', 'Magic Wand', 'Solar Crest', 'Pavise', 'Wind Lace', 'Blink Dagger', ""Aghanim's Scepter"", ""Aghanim's Shard""]"
18,Alchemist,Hard Support,MIXOLOGIST,24,42,"[0, 1, 0]","['Unstable Concoction', 'Acid Spray', 'Unstable Concoction', 'Acid Spray', 'Acid Spray', 'Chemical Rage', 'Acid Spray', 'Unstable Concoction', 'Unstable Concoction', '+125 Unstable Concoction Radius']","['Tango', 'Sentry Ward', 'Blood Grenade', 'Iron Branch', 'Magic Stick', 'Observer and Sentry Wards', 'Quelling Blade', 'Ring of Protection', 'Faerie Fire', 'Wind Lace', 'Enchanted Mango']","['Radiance', 'Black King Bar', 'Octarine Core', 'Assault Cuirass', 'Swift Blink', 'Abyssal Blade']","['Ring of Basilius', 'Wind Lace', 'Boots of Speed', 'Soul Ring', 'Arcane Boots', 'Magic Wand']","['Tranquil Boots', 'Radiance', 'Glimmer Cape', 'Blink Dagger', 'Force Staff', 'Drum of Endurance', 'Black King Bar', ""Aghanim's Scepter"", 'Solar Crest', 'Octarine Core', 'Tiara of Selemene', 'Scythe of Vyse', 'Boots of Bearing']","['Helm of Iron Will', 'Crimson Guard', 'Swift Blink', 'Skull Basher', 'Abyssal Blade']","['Ring of Basilius', 'Boots of Speed', 'Arcane Boots', 'Magic Wand', 'Blink Dagger']"
19,Ancient Apparition,Support,BONE CHILL,108,44,"[0, 1, 1]","['Chilling Touch', 'Cold Feet', 'Ice Vortex', 'Ice Vortex', 'Ice Vortex', 'Ice Blast', 'Ice Vortex', 'Cold Feet', 'Cold Feet', 'Cold Feet']","['Tango', 'Blood Grenade', 'Sentry Ward', 'Observer and Sentry Wards', 'Magic Stick', 'Faerie Fire', 'Iron Branch', 'Enchanted Mango', 'Circlet', 'Iron Branch']","['Arcane Boots', 'Glimmer Cape', 'Force Staff', 'Witch Blade', ""Aghanim's Scepter"", ""Eul's Scepter of Divinity""]","['Null Talisman', 'Boots of Speed', 'Ring of Basilius', 'Magic Wand', 'Urn of Shadows', 'Tranquil Boots', 'Arcane Boots', 'Wind Lace', 'Bracer']","['Spirit Vessel', 'Rod of Atos', 'Glimmer Cape', ""Eul's Scepter of Divinity"", ""Aghanim's Shard"", 'Force Staff', 'Witch Blade', 'Ghost Scepter', 'Dagon', 'Dagon', ""Aghanim's Scepter""]","['Scythe of Vyse', 'Dagon', 'Aeon Disk', 'Dagon', 'Maelstrom']","['Boots of Speed', 'Ring of Basilius', 'Magic Wand', 'Arcane Boots', 'Wind Lace', ""Eul's Scepter of Divinity"", 'Force Staff', 'Glimmer Cape', ""Aghanim's Shard""]"
20,Ancient Apparition,Support,EXPOSURE,36,36,"[0, 0]","['Chilling Touch', 'Cold Feet', 'Cold Feet', 'Ice Vortex', 'Cold Feet', 'Ice Blast', 'Cold Feet', 'Ice Vortex', 'Ice Vortex', '+2 Cold Feet Death Rime Stacks']","['Tango', 'Blood Grenade', 'Sentry Ward', 'Iron Branch', 'Circlet', 'Observer and Sentry Wards', 'Faerie Fire', 'Magic Stick', 'Enchanted Mango', 'Iron Branch', 'Healing Salve', 'Observer Ward']","['Arcane Boots', 'Solar Crest', ""Eul's Scepter of Divinity"", 'Lotus Orb', 'Force Staff']","['Boots of Speed', 'Ring of Basilius', 'Magic Wand', 'Null Talisman', 'Arcane Boots']","['Wind Lace', 'Hand of Midas', 'Pavise', 'Rod of Atos', 'Glimmer Cape', 'Solar Crest', 'Aether Lens', ""Eul's Scepter of Divinity"", 'Force Staff', 'Tiara of Selemene', 'Octarine Core']",['Lotus Orb'],"['Boots of Speed', 'Ring of Basilius', 'Magic Wand', 'Arcane Boots', 'Wind Lace']"
21,Ancient Apparition,Hard Support,BONE CHILL,513,51,"[0, 1, 1, 0]","['Chilling Touch', 'Cold Feet', 'Ice Vortex', 'Ice Vortex', 'Ice Vortex', 'Ice Blast', 'Ice Vortex', 'Cold Feet', 'Cold Feet', 'Cold Feet']","['Tango', 'Blood Grenade', 'Sentry Ward', 'Magic Stick', 'Iron Branch', 'Faerie Fire', 'Observer and Sentry Wards', 'Enchanted Mango', 'Iron Branch', 'Circlet', 'Iron Branch']","['Glimmer Cape', 'Arcane Boots', ""Eul's Scepter of Divinity"", 'Force Staff', 'Octarine Core', 'Ghost Scepter']","['Boots of Speed', 'Ring of Basilius', 'Magic Wand', 'Arcane Boots', 'Wind Lace', 'Tranquil Boots']","['Hand of Midas', 'Rod of Atos', 'Glimmer Cape', 'Solar Crest', ""Aghanim's Shard"", 'Force Staff', ""Eul's Scepter of Divinity"", 'Ghost Scepter', 'Blink Dagger', 'Tiara of Selemene', 'Witch Blade', 'Aether Lens']","['Octarine Core', 'Aeon Disk', 'Hurricane Pike', 'Scythe of Vyse', 'Boots of Travel', 'Parasma', 'Refresher Orb', 'Bloodthorn', 'Divine Rapier']","['Boots of Speed', 'Ring of Basilius', 'Magic Wand', 'Arcane Boots', 'Wind Lace', ""Aghanim's Shard"", ""Eul's Scepter of Divinity"", 'Glimmer Cape', 'Force Staff', 'Ghost Scepter', 'Octarine Core']"
